,REAL,PREDICHAS,BAG,METODO
0,0.012,0.018794453484044557,99,AC
1,0.039,0.0278599841424758,99,AC
2,0.027,5.30174927029935e-05,99,AC
3,0.057,0.0624998641460073,99,AC
4,0.039,0.03213914071465967,99,AC
5,0.101,0.08363462994181818,99,AC
6,0.078,0.04546792745960505,99,AC
7,0.052,0.05567884695197108,99,AC
8,0.025,0.016043007549736782,99,AC
9,0.006,0.041841697796282946,99,AC
10,0.04,0.032141219538059054,99,AC
11,0.037,0.047386926553147954,99,AC
12,0.051,0.04861269380096563,99,AC
13,0.025,0.00014925613692156735,99,AC
14,0.073,0.09049014641975166,99,AC
15,0.009,0.006208550645045218,99,AC
16,0.014,3.6632000060942344e-05,99,AC
17,0.078,0.07777817029571844,99,AC
18,0.007,0.016554118642668734,99,AC
19,0.005,0.01554956946959801,99,AC
20,0.023,0.0003886427312347094,99,AC
21,0.009,0.00468490885180362,99,AC
22,0.033,0.10326435455749708,99,AC
23,0.025,0.020320894931382023,99,AC
24,0.007,0.013033207697570406,99,AC
25,0.073,0.08414284659330495,99,AC
26,0.007,0.01262007256086285,99,AC
27,0.048,0.04262520711866979,99,AC
0,0.017,0.030603398164538862,98,AC
1,0.007,0.007353385383773045,98,AC
2,0.025,2.125773835102503e-06,98,AC
3,0.012,0.013241366055693309,98,AC
4,0.008,0.008175056700639106,98,AC
5,0.157,0.09513006267067936,98,AC
6,0.01,0.006906423497248555,98,AC
7,0.033,0.031201030161430346,98,AC
8,0.057,0.02626290067128799,98,AC
9,0.006,0.007305340307208432,98,AC
10,0.034,0.059556860768578565,98,AC
11,0.011,0.024415556990974415,98,AC
12,0.013,0.0001728447554696526,98,AC
13,0.054,6.054320315611844e-06,98,AC
14,0.047,0.09566389719697924,98,AC
15,0.016,0.002642051873004769,98,AC
16,0.042,0.061019562965072195,98,AC
17,0.017,0.022429163365254957,98,AC
18,0.026,0.021257127202488804,98,AC
19,0.01,0.014326110494928268,98,AC
20,0.116,0.08101727170146146,98,AC
21,0.067,0.0590266134495554,98,AC
22,0.047,0.13162075966783354,98,AC
23,0.137,0.09855710198576473,98,AC
24,0.007,0.016123869063433532,98,AC
25,0.018,0.06142545398306531,98,AC
26,0.006,0.01919550245301284,98,AC
27,0.0,0.005363105033112432,98,AC
0,0.083,0.13270972712693524,97,AC
1,0.0,0.00011799657105839267,97,AC
2,0.015,6.384628043625352e-06,97,AC
3,0.015,0.010618411059230086,97,AC
4,0.001,5.5256344325490955e-06,97,AC
5,0.013,0.009787976613506588,97,AC
6,0.023,0.03684382534049542,97,AC
7,0.011,0.011076856927181742,97,AC
8,0.049,0.009757979974760212,97,AC
9,0.047,0.03151091945741768,97,AC
10,0.06,0.07789602080251029,97,AC
11,0.094,0.08650462954760042,97,AC
12,0.009,0.06410712965380451,97,AC
13,0.152,0.051614607029822915,97,AC
14,0.01,0.03277979573734966,97,AC
15,0.004,3.988597725076744e-05,97,AC
16,0.011,4.714583825517523e-06,97,AC
17,0.0,0.0047482217910436485,97,AC
18,0.044,0.048422868187281094,97,AC
19,0.09,0.05988262991555721,97,AC
20,0.015,0.01256805152345796,97,AC
21,0.118,0.10063743885002155,97,AC
22,0.011,0.04450796639829635,97,AC
23,0.014,0.010224750397348062,97,AC
24,0.015,0.016196862497825107,97,AC
25,0.012,0.055780437692736135,97,AC
26,0.018,0.030175880040919326,97,AC
27,0.066,0.061472503177690214,97,AC
0,0.0,0.00934772733922595,96,AC
1,0.008,0.016731020078932447,96,AC
2,0.042,2.8543071010955023e-06,96,AC
3,0.014,1.1924854278538449e-05,96,AC
4,0.09,0.057659023843245207,96,AC
5,0.063,0.004211054792997482,96,AC
6,0.0,0.01696046203087613,96,AC
7,0.058,0.055001008267171005,96,AC
8,0.017,0.014092047722175267,96,AC
9,0.035,0.01820484004894717,96,AC
10,0.026,0.034282824125038934,96,AC
11,0.069,0.07035163792245462,96,AC
12,0.017,0.00017452464219569984,96,AC
13,0.158,0.26689295284673953,96,AC
14,0.024,0.10507386171501308,96,AC
15,0.032,0.012912796192056947,96,AC
16,0.034,2.0088658365368877e-06,96,AC
17,0.025,0.016025787987813872,96,AC
18,0.025,0.021401834411156853,96,AC
19,0.015,0.01198086245714818,96,AC
20,0.016,0.01241355591863116,96,AC
21,0.032,0.02704224600293646,96,AC
22,0.032,0.0973873324783824,96,AC
23,0.038,0.0161763999758314,96,AC
24,0.074,0.06636706542837613,96,AC
25,0.011,0.0004400525015888611,96,AC
26,0.038,0.04280189523648064,96,AC
27,0.007,0.006050395127662717,96,AC
0,0.027,0.060231153112095356,95,AC
1,0.002,0.047531777795571356,95,AC
2,0.02,2.576989799839171e-06,95,AC
3,0.058,0.05594580230754381,95,AC
4,0.054,0.059879840407667105,95,AC
5,0.053,0.06088880736896284,95,AC
6,0.028,0.017680537880084602,95,AC
7,0.017,0.020060558134277085,95,AC
8,0.085,0.036863905055968545,95,AC
9,0.009,0.020678223764680592,95,AC
10,0.012,0.0028827513066847954,95,AC
11,0.042,0.01578167717849888,95,AC
12,0.011,0.00021494486333425931,95,AC
13,0.031,7.3302317476224724e-06,95,AC
14,0.063,0.058681541796921186,95,AC
15,0.064,0.012257382744660686,95,AC
16,0.08,0.0606961431135729,95,AC
17,0.014,0.01290880227366832,95,AC
18,0.014,0.030522887241089106,95,AC
19,0.014,0.019568633591819463,95,AC
20,0.034,0.013334718137354155,95,AC
21,0.064,0.05936228851736979,95,AC
22,0.024,0.15082151351064121,95,AC
23,0.007,0.008408526786456677,95,AC
24,0.031,0.04175371141049135,95,AC
25,0.038,0.03194902236262244,95,AC
26,0.044,0.046200526413369185,95,AC
27,0.06,0.05488441236179346,95,AC
0,0.002,0.00025574235140060544,94,AC
1,0.013,4.533677257378994e-05,94,AC
2,0.01,0.04574447842948109,94,AC
3,0.002,0.0013846361162584606,94,AC
4,0.078,0.0660431454378214,94,AC
5,0.025,0.005725428294700425,94,AC
6,0.082,0.006350251449462161,94,AC
7,0.0,0.0045995993379003034,94,AC
8,0.06,0.07278242207721598,94,AC
9,0.002,0.07731225152198498,94,AC
10,0.033,0.008998489133057707,94,AC
11,0.043,0.06011433132059218,94,AC
12,0.026,1.1357659752460247e-05,94,AC
13,0.078,0.13886471135441633,94,AC
14,0.01,0.04994212044353646,94,AC
15,0.03,0.030429165425543806,94,AC
16,0.007,1.3499809271089997e-06,94,AC
17,0.003,0.005500477873886011,94,AC
18,0.124,0.13657113074230992,94,AC
