,REAL,PREDICHAS,BAG,METODO
0,0.012,0.0,99,AC
1,0.039,0.00866194149469566,99,AC
2,0.027,0.01723159562928971,99,AC
3,0.057,0.05354500954778628,99,AC
4,0.039,0.03073282802089824,99,AC
5,0.101,0.11223682049034854,99,AC
6,0.078,0.07525671181375483,99,AC
7,0.052,0.05680214904266173,99,AC
8,0.025,0.04309581743668055,99,AC
9,0.006,0.0075647123123165445,99,AC
10,0.04,0.03825032766447155,99,AC
11,0.037,0.07015306069363587,99,AC
12,0.051,0.06435257101746013,99,AC
13,0.025,0.005277334578655326,99,AC
14,0.073,0.055789643395376974,99,AC
15,0.009,0.02664509192711553,99,AC
16,0.014,0.010263523172169792,99,AC
17,0.078,0.07912127661269791,99,AC
18,0.007,0.011453008630836765,99,AC
19,0.005,0.021516134680254536,99,AC
20,0.023,0.017371792285173552,99,AC
21,0.009,0.017075333329654056,99,AC
22,0.033,0.00200453389795245,99,AC
23,0.025,0.021123814763433578,99,AC
24,0.007,0.013295471182293638,99,AC
25,0.073,0.08389813712191493,99,AC
26,0.007,0.01083709784843496,99,AC
27,0.048,0.04644426141003639,99,AC
0,0.017,0.005619604303856881,98,AC
1,0.007,0.011731436620387819,98,AC
2,0.025,0.013432339532622085,98,AC
3,0.012,0.015293229933339814,98,AC
4,0.008,0.009633976594045336,98,AC
5,0.157,0.1796644482483452,98,AC
6,0.01,0.017587365222247485,98,AC
7,0.033,0.028863692166483983,98,AC
8,0.057,0.062202664809479155,98,AC
9,0.006,0.0,98,AC
10,0.034,0.05519702933745906,98,AC
11,0.011,0.04597917352078326,98,AC
12,0.013,0.030582358235780444,98,AC
13,0.054,0.02185635618452299,98,AC
14,0.047,0.044735500250626885,98,AC
15,0.016,0.016337231895098975,98,AC
16,0.042,0.02520425501303109,98,AC
17,0.017,0.013906523523103441,98,AC
18,0.026,0.019549310085442192,98,AC
19,0.01,0.01741383924473196,98,AC
20,0.116,0.09653226519314163,98,AC
21,0.067,0.06168663760445989,98,AC
22,0.047,0.0017410300931091837,98,AC
23,0.137,0.11776245215458109,98,AC
24,0.007,0.012682124118679519,98,AC
25,0.018,0.05493908102718441,98,AC
26,0.006,0.013746626970715584,98,AC
27,0.0,0.00611944811674061,98,AC
0,0.083,0.011451334428662663,97,AC
1,0.0,0.0014157570066876213,97,AC
2,0.015,0.008367473662246811,97,AC
3,0.015,0.0245155051126256,97,AC
4,0.001,0.00944132497694737,97,AC
5,0.013,0.011303246733207432,97,AC
6,0.023,0.06890843547995003,97,AC
7,0.011,0.011138073812093417,97,AC
8,0.049,0.12788412152685993,97,AC
9,0.047,0.0024129544331274156,97,AC
10,0.06,0.07049557073748496,97,AC
11,0.094,0.09113522884106638,97,AC
12,0.009,0.045968985183054444,97,AC
13,0.152,0.05400471899387558,97,AC
14,0.01,0.013427043422143906,97,AC
15,0.004,0.008528180229599908,97,AC
16,0.011,0.007787277145417291,97,AC
17,0.0,0.0010234145884887836,97,AC
18,0.044,0.04718146379884893,97,AC
19,0.09,0.07303977167177554,97,AC
20,0.015,0.019150369963550788,97,AC
21,0.118,0.11217846576950072,97,AC
22,0.011,0.006677187635080995,97,AC
23,0.014,0.01649883221945399,97,AC
24,0.015,0.00588863221833863,97,AC
25,0.012,0.059372710455166025,97,AC
26,0.018,0.026571789536397026,97,AC
27,0.066,0.06423213041834774,97,AC
0,0.0,0.0,96,AC
1,0.008,0.010006870108412093,96,AC
2,0.042,0.027192807593110442,96,AC
3,0.014,0.010505383388566152,96,AC
4,0.09,0.07647572126269414,96,AC
5,0.063,0.06716792112745668,96,AC
6,0.0,0.028852506392695806,96,AC
7,0.058,0.044809184486133705,96,AC
8,0.017,0.02171715128274901,96,AC
9,0.035,0.002745873578634671,96,AC
10,0.026,0.06763291204257577,96,AC
11,0.069,0.09106567728013462,96,AC
12,0.017,0.05216022879066362,96,AC
13,0.158,0.06450070750309271,96,AC
14,0.024,0.03502751762178739,96,AC
15,0.032,0.03073173066492523,96,AC
16,0.034,0.01838953879649126,96,AC
17,0.025,0.02269263243363273,96,AC
18,0.025,0.027595253349051763,96,AC
19,0.015,0.025010207666700292,96,AC
20,0.016,0.018363531779864772,96,AC
21,0.032,0.03571026515826656,96,AC
22,0.032,0.007505885763745371,96,AC
23,0.038,0.03245601876201757,96,AC
24,0.074,0.09040631430721563,96,AC
25,0.011,0.04690429263742831,96,AC
26,0.038,0.039150516627549085,96,AC
27,0.007,0.005223349594404639,96,AC
0,0.027,0.0036646410965112926,95,AC
1,0.002,0.01862285522803419,95,AC
2,0.02,0.014571205351492894,95,AC
3,0.058,0.057967100559147604,95,AC
4,0.054,0.06046088516035303,95,AC
5,0.053,0.08108733548166794,95,AC
6,0.028,0.03799759502400521,95,AC
7,0.017,0.02269256225320806,95,AC
8,0.085,0.10499226674322215,95,AC
9,0.009,0.0,95,AC
10,0.012,0.011663277194767882,95,AC
11,0.042,0.05043765565097965,95,AC
12,0.011,0.03626825722968346,95,AC
13,0.031,0.017224259509896218,95,AC
14,0.063,0.04844504497508463,95,AC
15,0.064,0.04382283382929261,95,AC
16,0.08,0.0583807081284795,95,AC
17,0.014,0.015604766998612931,95,AC
18,0.014,0.018556481136660065,95,AC
19,0.014,0.015750384098988997,95,AC
20,0.034,0.023879973598251926,95,AC
21,0.064,0.07062025739936983,95,AC
22,0.024,0.0029048896684065626,95,AC
23,0.007,0.008285164505756684,95,AC
24,0.031,0.03724402761371607,95,AC
25,0.038,0.03887572440061722,95,AC
26,0.044,0.05003807527140133,95,AC
27,0.06,0.049941771892391906,95,AC
0,0.002,0.0,94,AC
1,0.013,0.011028911839911773,94,AC
2,0.01,0.00636785517622363,94,AC
3,0.002,0.001311204993325736,94,AC
4,0.078,0.07372509184511972,94,AC
5,0.025,0.03506366334749743,94,AC
6,0.082,0.07244362928624347,94,AC
7,0.0,0.0,94,AC
8,0.06,0.057494605327187975,94,AC
9,0.002,0.012010796344808715,94,AC
10,0.033,0.058326931815970526,94,AC
11,0.043,0.0553091800493231,94,AC
12,0.026,0.06059753748247006,94,AC
