,REAL,PREDICHAS,BAG,METODO
0,0.012,0.0028356087620049417,99,EDy
1,0.039,0.01086754265996591,99,EDy
2,0.027,0.026695418369314345,99,EDy
3,0.057,0.07343650609123897,99,EDy
4,0.039,0.03315663665852903,99,EDy
5,0.101,0.09471269225688206,99,EDy
6,0.078,0.04064592781935472,99,EDy
7,0.052,0.05973630968046854,99,EDy
8,0.025,0.031290601933305504,99,EDy
9,0.006,0.04457145127242719,99,EDy
10,0.04,0.035661771762960905,99,EDy
11,0.037,0.06996068410746092,99,EDy
12,0.051,0.055923749394243376,99,EDy
13,0.025,0.013231566004801043,99,EDy
14,0.073,0.07024282177933203,99,EDy
15,0.009,0.030454546460074138,99,EDy
16,0.014,0.014717975588524095,99,EDy
17,0.078,0.07453906080725681,99,EDy
18,0.007,0.014545493205592388,99,EDy
19,0.005,0.007704231010513052,99,EDy
20,0.023,0.013649071047418953,99,EDy
21,0.009,0.01396393820873999,99,EDy
22,0.033,0.0,99,EDy
23,0.025,0.023462321831669516,99,EDy
24,0.007,-4.474008455592428e-23,99,EDy
25,0.073,0.0811879089527007,99,EDy
26,0.007,0.01798801426828451,99,EDy
27,0.048,0.044818150066936346,99,EDy
0,0.017,0.0025417704159764196,98,EDy
1,0.007,0.01703499570672849,98,EDy
2,0.025,0.017118631665465255,98,EDy
3,0.012,0.012525959430896304,98,EDy
4,0.008,2.1054337921490728e-19,98,EDy
5,0.157,0.19693231916753254,98,EDy
6,0.01,0.013093165123078504,98,EDy
7,0.033,0.032586412584376,98,EDy
8,0.057,0.06384645515684773,98,EDy
9,0.006,1.016930591541398e-19,98,EDy
10,0.034,0.04390857413622468,98,EDy
11,0.011,0.04469350266242362,98,EDy
12,0.013,0.023532083377773,98,EDy
13,0.054,0.043156587497926294,98,EDy
14,0.047,0.022550260302980744,98,EDy
15,0.016,0.013771650394155602,98,EDy
16,0.042,0.028899768855965447,98,EDy
17,0.017,0.010952234171248498,98,EDy
18,0.026,0.02812036489716921,98,EDy
19,0.01,0.014015243957960643,98,EDy
20,0.116,0.11500697868237537,98,EDy
21,0.067,0.061710716014193596,98,EDy
22,0.047,0.007636405159924643,98,EDy
23,0.137,0.12557733015988085,98,EDy
24,0.007,0.0,98,EDy
25,0.018,0.03908193117457236,98,EDy
26,0.006,0.015168547236440552,98,EDy
27,0.0,0.0065381120678835725,98,EDy
0,0.083,0.03235527746843733,97,EDy
1,0.0,0.008423960110449193,97,EDy
2,0.015,0.014275827866861912,97,EDy
3,0.015,0.02510931429537748,97,EDy
4,0.001,-2.6935539662334994e-18,97,EDy
5,0.013,4.376223017575825e-18,97,EDy
6,0.023,0.062056478221005004,97,EDy
7,0.011,0.003275477298931019,97,EDy
8,0.049,0.1068271247838552,97,EDy
9,0.047,0.0015409447216575517,97,EDy
10,0.06,0.07105893057780238,97,EDy
11,0.094,0.09915511342702102,97,EDy
12,0.009,0.02622338119364474,97,EDy
13,0.152,0.117826872567364,97,EDy
14,0.01,0.013209516974689126,97,EDy
15,0.004,1.3201445230764077e-19,97,EDy
16,0.011,0.028974366414793618,97,EDy
17,0.0,0.0,97,EDy
18,0.044,0.055672334297178015,97,EDy
19,0.09,0.06890594643317459,97,EDy
20,0.015,0.025888044078338363,97,EDy
21,0.118,0.11250646652969769,97,EDy
22,0.011,0.007865814798534298,97,EDy
23,0.014,0.01116785186075629,97,EDy
24,0.015,3.2261472467419937e-19,97,EDy
25,0.012,0.02203688046096631,97,EDy
26,0.018,0.02429377114943066,97,EDy
27,0.066,0.0613503044700342,97,EDy
0,0.0,0.012186187378383392,96,EDy
1,0.008,0.02715675447367803,96,EDy
2,0.042,0.04018405939938045,96,EDy
3,0.014,0.0038381019366942053,96,EDy
4,0.09,0.07459200602618295,96,EDy
5,0.063,0.0849905871771941,96,EDy
6,0.0,0.0,96,EDy
7,0.058,0.04352469349850336,96,EDy
8,0.017,0.0023497033563991553,96,EDy
9,0.035,0.0340785747278026,96,EDy
10,0.026,0.04631438353653005,96,EDy
11,0.069,0.0850939997162856,96,EDy
12,0.017,0.010057342061914708,96,EDy
13,0.158,0.13436861804137654,96,EDy
14,0.024,0.016253039817079765,96,EDy
15,0.032,0.023401624138357863,96,EDy
16,0.034,0.027685075753530516,96,EDy
17,0.025,0.017422801870379576,96,EDy
18,0.025,0.028076699433275155,96,EDy
19,0.015,0.011804773321616793,96,EDy
20,0.016,0.02975058589529419,96,EDy
21,0.032,0.031131706056586876,96,EDy
22,0.032,0.013930644467039236,96,EDy
23,0.038,0.032654085898144405,96,EDy
24,0.074,0.0845898695479198,96,EDy
25,0.011,0.030752012952183633,96,EDy
26,0.038,0.04357619047912883,96,EDy
27,0.007,0.010235879039138251,96,EDy
0,0.027,-7.786284030211197e-19,95,EDy
1,0.002,0.02664314607452262,95,EDy
2,0.02,0.02894533247283769,95,EDy
3,0.058,0.06446835384561746,95,EDy
4,0.054,0.057708695598926045,95,EDy
5,0.053,0.0814039873386381,95,EDy
6,0.028,0.02799947451800126,95,EDy
7,0.017,0.021862595911365003,95,EDy
8,0.085,0.10825485797663345,95,EDy
9,0.009,0.009992538561304689,95,EDy
10,0.012,0.0,95,EDy
11,0.042,0.04504657567905894,95,EDy
12,0.011,0.008661824332473618,95,EDy
13,0.031,0.03277807005614889,95,EDy
14,0.063,0.05523194808591544,95,EDy
15,0.064,0.04127639539324315,95,EDy
16,0.08,0.055097455478451546,95,EDy
17,0.014,0.012299313383247997,95,EDy
18,0.014,0.021891124813066105,95,EDy
19,0.014,0.008409386313786871,95,EDy
20,0.034,0.03213759743448669,95,EDy
21,0.064,0.07024320245707669,95,EDy
22,0.024,0.020909608705188522,95,EDy
23,0.007,0.005311380501311635,95,EDy
24,0.031,0.032244351284390724,95,EDy
25,0.038,0.026242884905309773,95,EDy
26,0.044,0.04625783995337599,95,EDy
27,0.06,0.05868205892562117,95,EDy
0,0.002,0.05288782203980738,94,EDy
1,0.013,0.02069914492926555,94,EDy
2,0.01,0.006986227484279772,94,EDy
3,0.002,0.0007966099096709139,94,EDy
4,0.078,0.06442797675014994,94,EDy
5,0.025,0.010179650359446929,94,EDy
6,0.082,0.0789564477988179,94,EDy
7,0.0,-5.492667896284135e-21,94,EDy
8,0.06,0.0,94,EDy
9,0.002,2.424115718460838e-18,94,EDy
10,0.033,0.024348640318114134,94,EDy
11,0.043,0.0549336420983545,94,EDy
12,0.026,0.02469891424009314,94,EDy
13,0.078,0.08936659922780439,94,EDy
14,0.01,0.013927402672569002,94,EDy
15,0.03,0.02292926927181,94,EDy
16,0.007,0.03772640838803779,94,EDy
17,0.003,0.00973356332132716,94,EDy
18,0.124,0.11979351051753566,94,EDy
19,0.039,0.04563866048976553,94,EDy
20,0.019,0.0258963324289101,94,EDy
21,0.034,0.021011732607700128,94,EDy
22,0.021,0.012492702011937007,94,EDy
23,0.011,0.012447949260140348,94,EDy
24,0.153,0.16544945238621245,94,EDy
25,0.021,0.0018950623235553124,94,EDy
26,0.04,0.04840725654817302,94,EDy
27,0.034,0.03436902261652197,94,EDy
0,0.011,0.0005875659211549737,93,EDy
1,0.126,0.05217499049735803,93,EDy
2,0.116,0.11151371374531467,93,EDy
3,0.001,-1.3539947866154998e-19,93,EDy
4,0.046,0.04468059365214313,93,EDy
5,0.046,4.325350299046499e-20,93,EDy
6,0.008,0.02179123709565361,93,EDy
7,0.036,0.0420841790621753,93,EDy
8,0.022,0.03918398866167282,93,EDy
9,0.018,0.0031342732387280936,93,EDy
10,0.007,0.0024295651791156653,93,EDy
11,0.02,0.02057294271291289,93,EDy
12,0.026,0.02926720795272692,93,EDy
13,0.074,0.10900188224129093,93,EDy
14,0.035,0.08002827612979553,93,EDy
15,0.048,0.08189908520970644,93,EDy
16,0.04,0.03369331333649795,93,EDy
17,0.053,0.051543900518730534,93,EDy
18,0.058,0.055313720880945744,93,EDy
19,0.017,0.0,93,EDy
20,0.053,0.06980433264525444,93,EDy
21,0.015,0.013207884735343978,93,EDy
22,0.022,0.025921710160864926,93,EDy
23,0.004,0.004107182869660705,93,EDy
24,0.075,0.0831656986982913,93,EDy
25,0.006,0.0018102926962487015,93,EDy
26,0.013,0.022597681523404096,93,EDy
27,0.004,0.00048478063500867474,93,EDy
0,0.026,1.1799969842206372e-18,92,EDy
1,0.001,0.024861870094045946,92,EDy
2,0.02,0.04571694727058981,92,EDy
3,0.059,0.049963881156828885,92,EDy
4,0.095,0.08747663585027644,92,EDy
5,0.006,-8.856180449922093e-19,92,EDy
6,0.075,0.10059328250335955,92,EDy
7,0.088,0.0915486829002025,92,EDy
8,0.0,0.02873574531855922,92,EDy
9,0.037,0.010540632220511213,92,EDy
10,0.086,0.07372242918705878,92,EDy
11,0.023,0.0790022575423472,92,EDy
12,0.03,0.032019193339641226,92,EDy
13,0.007,0.008187778562161614,92,EDy
14,0.005,0.0045329727285220054,92,EDy
15,0.019,0.009269178924541264,92,EDy
16,0.0,0.015880326632301274,92,EDy
17,0.042,0.045491922013596156,92,EDy
18,0.002,0.01045741662182066,92,EDy
19,0.076,0.07351670890746564,92,EDy
20,0.023,0.028551422367997004,92,EDy
21,0.042,0.04409635201795475,92,EDy
22,0.087,0.0,92,EDy
23,0.0,0.002930088353563352,92,EDy
24,0.029,0.009452792274409988,92,EDy
