,REAL,PREDICHAS,BAG,METODO
0,0.012,0.030838169003590533,99,EDy
1,0.039,0.033702819658960985,99,EDy
2,0.027,0.027660460095184598,99,EDy
3,0.057,0.0707913128479048,99,EDy
4,0.039,0.03026860132485918,99,EDy
5,0.101,0.08537208217372458,99,EDy
6,0.078,0.06716904956159706,99,EDy
7,0.052,0.061879024922416266,99,EDy
8,0.025,0.0028876314405574576,99,EDy
9,0.006,0.016794703171064993,99,EDy
10,0.04,0.03675144516328431,99,EDy
11,0.037,0.06380292750158063,99,EDy
12,0.051,0.05102675531153987,99,EDy
13,0.025,0.018968292806345592,99,EDy
14,0.073,0.07779175315145519,99,EDy
15,0.009,0.01374386487284194,99,EDy
16,0.014,0.015788878245188844,99,EDy
17,0.078,0.07420598209951129,99,EDy
18,0.007,0.011614693490904859,99,EDy
19,0.005,0.008619845421122587,99,EDy
20,0.023,0.014955928540828054,99,EDy
21,0.009,0.014239922872481063,99,EDy
22,0.033,0.005090470235466038,99,EDy
23,0.025,0.02610975289604322,99,EDy
24,0.007,0.0,99,EDy
25,0.073,0.0796912341966667,99,EDy
26,0.007,0.015904823217103285,99,EDy
27,0.048,0.044329575777776076,99,EDy
0,0.017,0.006350475881067103,98,EDy
1,0.007,0.025542272692898736,98,EDy
2,0.025,0.022423370600708616,98,EDy
3,0.012,0.009538981117313963,98,EDy
4,0.008,1.250571839281073e-19,98,EDy
5,0.157,0.1606700759276483,98,EDy
6,0.01,0.013166860071408427,98,EDy
7,0.033,0.03359855230687408,98,EDy
8,0.057,0.05728663204119832,98,EDy
9,0.006,0.0,98,EDy
10,0.034,0.03634665937964987,98,EDy
11,0.011,0.04885351775311593,98,EDy
12,0.013,0.02042253948811166,98,EDy
13,0.054,0.05642796939427633,98,EDy
14,0.047,0.04799882938148646,98,EDy
15,0.016,0.006313781725051261,98,EDy
16,0.042,0.03534400657768067,98,EDy
17,0.017,0.013044806154037244,98,EDy
18,0.026,0.022605100016780233,98,EDy
19,0.01,0.014522537906607062,98,EDy
20,0.116,0.11166924490269853,98,EDy
21,0.067,0.0659761341137945,98,EDy
22,0.047,-9.031565911840205e-20,98,EDy
23,0.137,0.1353895228270453,98,EDy
24,0.007,0.0015822959227373393,98,EDy
25,0.018,0.03832506502981065,98,EDy
26,0.006,0.012254466527959338,98,EDy
27,0.0,0.004346302260040069,98,EDy
0,0.083,0.033889894522687876,97,EDy
1,0.0,0.010719718693596569,97,EDy
2,0.015,0.004975093124163035,97,EDy
3,0.015,0.01688353717916065,97,EDy
4,0.001,1.917999842945864e-18,97,EDy
5,0.013,0.007082699894020233,97,EDy
6,0.023,0.053122092659052635,97,EDy
7,0.011,0.00758169862478881,97,EDy
8,0.049,0.10491013623076414,97,EDy
9,0.047,0.013726767844030135,97,EDy
10,0.06,0.05829777061528493,97,EDy
11,0.094,0.09287152632933142,97,EDy
12,0.009,0.027227024110113174,97,EDy
13,0.152,0.15698823992503913,97,EDy
14,0.01,0.013270188104401694,97,EDy
15,0.004,-3.394987320198151e-19,97,EDy
16,0.011,0.013855413598848565,97,EDy
17,0.0,-1.2646692912146272e-20,97,EDy
18,0.044,0.0561810013408337,97,EDy
19,0.09,0.06967484904916171,97,EDy
20,0.015,0.016315259081230563,97,EDy
21,0.118,0.11124495622341134,97,EDy
22,0.011,0.01404789902532709,97,EDy
23,0.014,0.014287309238223687,97,EDy
24,0.015,0.0,97,EDy
25,0.012,0.013171192236931657,97,EDy
26,0.018,0.025106048661537334,97,EDy
27,0.066,0.06456968368805993,97,EDy
0,0.0,0.014510913522845087,96,EDy
1,0.008,0.02501570814489155,96,EDy
2,0.042,0.0398999708122583,96,EDy
3,0.014,0.0,96,EDy
4,0.09,0.07076706309198896,96,EDy
5,0.063,0.04546199216401819,96,EDy
