,REAL,PREDICHAS,BAG,METODO
0,0.012,0.00819251012089709,99,HDx
1,0.039,0.015128431759689098,99,HDx
2,0.027,0.006327264009853642,99,HDx
3,0.057,0.03871729665807991,99,HDx
4,0.039,0.0415710825483076,99,HDx
5,0.101,0.13797047940670998,99,HDx
6,0.078,0.012571418558533153,99,HDx
7,0.052,0.01938186915533478,99,HDx
8,0.025,0.019962120083645254,99,HDx
9,0.006,0.05673305670439042,99,HDx
10,0.04,0.05460190526726058,99,HDx
11,0.037,0.045557145217231,99,HDx
12,0.051,0.10298157293746014,99,HDx
13,0.025,3.771202797410288e-05,99,HDx
14,0.073,0.01872850762772004,99,HDx
15,0.009,0.03395515392931239,99,HDx
16,0.014,0.01090778422791971,99,HDx
17,0.078,0.0841654326853686,99,HDx
18,0.007,0.021871888134818357,99,HDx
19,0.005,0.040427349856242245,99,HDx
20,0.023,0.028059306816687293,99,HDx
21,0.009,0.030805833008854457,99,HDx
22,0.033,0.014264204015363309,99,HDx
23,0.025,0.0202788697607048,99,HDx
24,0.007,0.007872064712878948,99,HDx
25,0.073,0.06674795422496212,99,HDx
26,0.007,0.0016874811081584041,99,HDx
27,0.048,0.06049269020584103,99,HDx
0,0.017,0.006607696046752137,98,HDx
1,0.007,0.0002556070312659149,98,HDx
2,0.025,0.0064581138837661685,98,HDx
3,0.012,0.013770073512716639,98,HDx
4,0.008,0.011060220289355152,98,HDx
5,0.157,0.18593544742777018,98,HDx
6,0.01,3.7493773105220816e-06,98,HDx
7,0.033,9.162628463974747e-06,98,HDx
8,0.057,0.05540606190391327,98,HDx
9,0.006,0.007931152963258813,98,HDx
10,0.034,0.08951685905795218,98,HDx
11,0.011,0.04173969221806065,98,HDx
12,0.013,0.05042221249693566,98,HDx
13,0.054,0.003465564556714335,98,HDx
14,0.047,0.009916985831411273,98,HDx
15,0.016,0.02455327987097135,98,HDx
16,0.042,0.02420468113186412,98,HDx
17,0.017,0.04018332895679972,98,HDx
18,0.026,0.00897401634961011,98,HDx
19,0.01,0.017325725300437834,98,HDx
20,0.116,0.11203392384486326,98,HDx
21,0.067,0.08766086175499596,98,HDx
22,0.047,0.003961466031506571,98,HDx
23,0.137,0.1287531657386008,98,HDx
24,0.007,2.7414869138857976e-05,98,HDx
25,0.018,0.0316686117057489,98,HDx
26,0.006,0.035742743945744414,98,HDx
27,0.0,0.0024109482196272188,98,HDx
0,0.083,0.021145732770265435,97,HDx
1,0.0,0.004382596852712277,97,HDx
2,0.015,0.011971904660336511,97,HDx
3,0.015,0.0349914671107942,97,HDx
4,0.001,0.014184131257383848,97,HDx
5,0.013,0.03334718806723611,97,HDx
6,0.023,0.06722054998428922,97,HDx
7,0.011,0.023258157590317796,97,HDx
8,0.049,0.10480987312789296,97,HDx
9,0.047,4.962314456159418e-05,97,HDx
10,0.06,0.06782577309106509,97,HDx
11,0.094,0.10507950457801149,97,HDx
12,0.009,0.09241231943031974,97,HDx
13,0.152,0.03626120124078379,97,HDx
14,0.01,0.005561367496039959,97,HDx
15,0.004,0.015147209513324562,97,HDx
16,0.011,0.0007015916044914673,97,HDx
17,0.0,0.00018543725127346313,97,HDx
18,0.044,0.037298138505190974,97,HDx
19,0.09,0.07073702237273047,97,HDx
20,0.015,0.00017268493470673743,97,HDx
21,0.118,0.11582604985536284,97,HDx
22,0.011,2.186676485556721e-05,97,HDx
23,0.014,0.009159050872317073,97,HDx
24,0.015,0.010429638610354647,97,HDx
25,0.012,0.036822475028239265,97,HDx
26,0.018,3.08833373412349e-05,97,HDx
27,0.066,0.08096546364501571,97,HDx
0,0.0,3.3285801470445096e-05,96,HDx
1,0.008,0.012821225920263515,96,HDx
2,0.042,0.011607561863751335,96,HDx
3,0.014,0.005649998116142162,96,HDx
4,0.09,0.09170753587892347,96,HDx
5,0.063,0.07408279111968799,96,HDx
6,0.0,0.009205018381114932,96,HDx
