,REAL,PREDICHAS,BAG,METODO
0,0.012,0.00027824872462513576,99,HDY
1,0.039,6.836129679369921e-05,99,HDY
2,0.027,0.036948487758707516,99,HDY
3,0.057,0.06331994921293657,99,HDY
4,0.039,0.029279774045047065,99,HDY
5,0.101,0.005386245521790613,99,HDY
6,0.078,0.00022478485581541117,99,HDY
7,0.052,0.04470900489618513,99,HDY
8,0.025,0.0364145933623561,99,HDY
9,0.006,0.09211383829773581,99,HDY
10,0.04,0.04681465192345574,99,HDY
11,0.037,0.0648969067910996,99,HDY
12,0.051,0.0634072369843557,99,HDY
13,0.025,0.00023664686826414678,99,HDY
14,0.073,0.1735192903307071,99,HDY
15,0.009,0.04065064946769563,99,HDY
16,0.014,4.9263938684498775e-05,99,HDY
17,0.078,0.07632180862441239,99,HDY
18,0.007,0.018318683802766477,99,HDY
19,0.005,0.011729444665544647,99,HDY
20,0.023,0.00031286471333208534,99,HDY
21,0.009,0.017306356098866583,99,HDY
22,0.033,2.8539354805352615e-05,99,HDY
23,0.025,0.023459847606920648,99,HDY
24,0.007,0.011318605488693593,99,HDY
25,0.073,0.08475729076569527,99,HDY
26,0.007,0.01233144591120139,99,HDY
27,0.048,0.04579702861155604,99,HDY
0,0.017,0.010359566802364337,98,HDY
1,0.007,0.0004218187664828883,98,HDY
2,0.025,0.0358363479888637,98,HDY
3,0.012,0.019960720468429515,98,HDY
4,0.008,2.124416478738565e-05,98,HDY
5,0.157,0.23391173882038344,98,HDY
6,0.01,0.001781103913788841,98,HDY
7,0.033,0.03861447239539114,98,HDY
8,0.057,0.05565952727825358,98,HDY
9,0.006,0.014572859722718198,98,HDY
10,0.034,0.040545819380368456,98,HDY
11,0.011,0.03083608853456287,98,HDY
12,0.013,9.684594262642541e-05,98,HDY
13,0.054,0.0005987861653692554,98,HDY
14,0.047,0.002765590833413117,98,HDY
15,0.016,0.026367385645188708,98,HDY
16,0.042,8.583763322934572e-05,98,HDY
17,0.017,0.01779843512011483,98,HDY
18,0.026,0.027605187894094465,98,HDY
