,REAL,PREDICHAS,BAG,METODO
0,0.012,0.02655860097263638,99,HDY
1,0.039,0.011386410012323631,99,HDY
2,0.027,0.023851834424200483,99,HDY
3,0.057,0.072039334055556,99,HDY
4,0.039,0.034586267235938536,99,HDY
5,0.101,0.10261332989793374,99,HDY
6,0.078,0.08404875089496162,99,HDY
7,0.052,0.06437790247485049,99,HDY
8,0.025,0.007245404819591714,99,HDY
9,0.006,0.005549044358453142,99,HDY
10,0.04,0.03736084043003411,99,HDY
11,0.037,0.05835267108213832,99,HDY
12,0.051,0.04932715587018923,99,HDY
13,0.025,3.821974290117363e-06,99,HDY
14,0.073,0.06565325249504551,99,HDY
15,0.009,0.028362369691345268,99,HDY
16,0.014,0.012513197255508009,99,HDY
17,0.078,0.07978567520883556,99,HDY
18,0.007,0.011585983720518282,99,HDY
19,0.005,0.007197734288756217,99,HDY
20,0.023,0.013807352086615885,99,HDY
21,0.009,0.014418997847565914,99,HDY
22,0.033,0.015911397482034205,99,HDY
23,0.025,0.026946830427263153,99,HDY
24,0.007,1.8085290485104467e-06,99,HDY
25,0.073,0.08903990074692311,99,HDY
26,0.007,0.01099370125215399,99,HDY
27,0.048,0.04648039858774263,99,HDY
0,0.017,4.37857624657272e-05,98,HDY
1,0.007,0.001073263998250385,98,HDY
2,0.025,0.02069446428766849,98,HDY
3,0.012,0.011729352403270296,98,HDY
4,0.008,9.054981998285974e-07,98,HDY
5,0.157,0.15224520547031412,98,HDY
6,0.01,5.8000418824154855e-05,98,HDY
7,0.033,0.03621128297555837,98,HDY
8,0.057,0.07270924878635034,98,HDY
9,0.006,0.013722094342439073,98,HDY
10,0.034,0.036054736620173604,98,HDY
11,0.011,0.04982300768689411,98,HDY
12,0.013,0.02188432882078527,98,HDY
13,0.054,0.027193570837312196,98,HDY
14,0.047,0.06137408465513453,98,HDY
15,0.016,0.028341867121115433,98,HDY
16,0.042,0.032392022538655495,98,HDY
17,0.017,0.012920793499971493,98,HDY
18,0.026,0.02394010556630448,98,HDY
19,0.01,0.0032829762442669356,98,HDY
20,0.116,0.12053996176731484,98,HDY
21,0.067,0.06502729062210376,98,HDY
22,0.047,2.7944138613282774e-06,98,HDY
23,0.137,0.14509888067223595,98,HDY
24,0.007,7.3574852259727965e-06,98,HDY
25,0.018,0.04246094518950669,98,HDY
26,0.006,0.015715204705916547,98,HDY
27,0.0,0.005452409824292883,98,HDY
0,0.083,0.024541147331848607,97,HDY
1,0.0,0.00010407263216181845,97,HDY
2,0.015,0.009125233958730522,97,HDY
3,0.015,0.01869992405831477,97,HDY
4,0.001,1.9699087084581837e-05,97,HDY
5,0.013,0.010041675814098958,97,HDY
6,0.023,0.055095245104459664,97,HDY
7,0.011,0.008185665051712698,97,HDY
8,0.049,0.12173272423020837,97,HDY
9,0.047,0.020051950631661864,97,HDY
10,0.06,0.060119013550238805,97,HDY
11,0.094,0.09217994207166566,97,HDY
12,0.009,0.026033539876438146,97,HDY
13,0.152,0.11593374279493157,97,HDY
14,0.01,0.012381057951683741,97,HDY
15,0.004,7.392192412198409e-06,97,HDY
16,0.011,0.009098481792806873,97,HDY
17,0.0,0.0015816193595554417,97,HDY
18,0.044,0.062176120279310805,97,HDY
19,0.09,0.07428412158792486,97,HDY
20,0.015,0.013301066677128326,97,HDY
21,0.118,0.1165808992836719,97,HDY
22,0.011,0.022530056722017768,97,HDY
23,0.014,0.017894530502460156,97,HDY
24,0.015,0.0054408970109101245,97,HDY
25,0.012,0.02360168093967908,97,HDY
26,0.018,0.013330437952829054,97,HDY
27,0.066,0.06592802879123207,97,HDY
0,0.0,7.700335899905545e-05,96,HDY
1,0.008,0.018633547531419953,96,HDY
2,0.042,0.04184746920077385,96,HDY
3,0.014,0.0015914719036430138,96,HDY
4,0.09,0.07571417325104292,96,HDY
5,0.063,0.05490719799362241,96,HDY
6,0.0,0.01914247571781166,96,HDY
7,0.058,0.04864286241299957,96,HDY
8,0.017,0.012424279006619753,96,HDY
9,0.035,0.01805486086238835,96,HDY
10,0.026,0.060877654551989485,96,HDY
11,0.069,0.08718492134771981,96,HDY
12,0.017,0.031063975342853822,96,HDY
13,0.158,0.12617393663886606,96,HDY
14,0.024,0.044095750607693156,96,HDY
15,0.032,0.02952952522286677,96,HDY
16,0.034,0.01927836917024772,96,HDY
17,0.025,0.02208216423040215,96,HDY
