,REAL,PREDICHAS,BAG,METODO
0,0.012,0.0,99,OVR-AC
1,0.039,0.0,99,OVR-AC
2,0.027,0.0,99,OVR-AC
3,0.057,0.06493210494607449,99,OVR-AC
4,0.039,0.03170836360300569,99,OVR-AC
5,0.101,0.24981434506929595,99,OVR-AC
6,0.078,0.1162006885071525,99,OVR-AC
7,0.052,0.005526884862300379,99,OVR-AC
8,0.025,0.05167137802992697,99,OVR-AC
9,0.006,0.0,99,OVR-AC
10,0.04,0.08656552891407597,99,OVR-AC
11,0.037,0.06455790866926484,99,OVR-AC
12,0.051,0.09034478435930172,99,OVR-AC
13,0.025,0.0,99,OVR-AC
14,0.073,0.0,99,OVR-AC
15,0.009,0.05450677142235417,99,OVR-AC
16,0.014,0.0,99,OVR-AC
17,0.078,0.0500770138168939,99,OVR-AC
18,0.007,0.020185233404556642,99,OVR-AC
19,0.005,0.0014004013804747011,99,OVR-AC
20,0.023,0.0,99,OVR-AC
21,0.009,0.006909041320127227,99,OVR-AC
22,0.033,0.0,99,OVR-AC
23,0.025,0.014759777047096814,99,OVR-AC
24,0.007,0.0,99,OVR-AC
25,0.073,0.03539539225939825,99,OVR-AC
26,0.007,0.002230057864355795,99,OVR-AC
27,0.048,0.05321432452434401,99,OVR-AC
0,0.017,0.0,98,OVR-AC
1,0.007,0.0,98,OVR-AC
2,0.025,0.0,98,OVR-AC
3,0.012,0.0033825039648002196,98,OVR-AC
4,0.008,0.0,98,OVR-AC
5,0.157,0.3655371683995376,98,OVR-AC
6,0.01,0.0121948286779469,98,OVR-AC
7,0.033,0.0,98,OVR-AC
8,0.057,0.09496864490944994,98,OVR-AC
9,0.006,0.0,98,OVR-AC
10,0.034,0.11046545790819806,98,OVR-AC
11,0.011,0.04589184926288678,98,OVR-AC
12,0.013,0.05068247850593362,98,OVR-AC
13,0.054,0.0,98,OVR-AC
14,0.047,0.0,98,OVR-AC
15,0.016,0.05353691116424647,98,OVR-AC
16,0.042,0.0,98,OVR-AC
17,0.017,0.005924757229218863,98,OVR-AC
18,0.026,0.022542178566852762,98,OVR-AC
19,0.01,0.0,98,OVR-AC
20,0.116,0.057715170073571825,98,OVR-AC
21,0.067,0.08556816938216713,98,OVR-AC
22,0.047,0.0,98,OVR-AC
23,0.137,0.0699616699589293,98,OVR-AC
24,0.007,0.0,98,OVR-AC
25,0.018,0.01797442859905708,98,OVR-AC
26,0.006,0.0,98,OVR-AC
27,0.0,0.0036537833972035676,98,OVR-AC
0,0.083,0.0,97,OVR-AC
1,0.0,0.0,97,OVR-AC
2,0.015,0.0,97,OVR-AC
3,0.015,0.0032723577736426222,97,OVR-AC
4,0.001,0.0,97,OVR-AC
5,0.013,0.0,97,OVR-AC
6,0.023,0.09276909633034688,97,OVR-AC
7,0.011,0.0,97,OVR-AC
8,0.049,0.21805244857269335,97,OVR-AC
9,0.047,0.0,97,OVR-AC
10,0.06,0.1629085696706653,97,OVR-AC
11,0.094,0.0810154378205117,97,OVR-AC
12,0.009,0.038622845168747116,97,OVR-AC
13,0.152,0.0,97,OVR-AC
14,0.01,0.0,97,OVR-AC
15,0.004,0.0,97,OVR-AC
16,0.011,0.0,97,OVR-AC
17,0.0,0.0,97,OVR-AC
18,0.044,0.042292723278195006,97,OVR-AC
19,0.09,0.09191494008722415,97,OVR-AC
20,0.015,0.0,97,OVR-AC
21,0.118,0.15271920821092827,97,OVR-AC
22,0.011,0.0,97,OVR-AC
23,0.014,0.011635045669597659,97,OVR-AC
